o,c,h,l,t
21780.35796776302,21777.95498321538,21804.70945146222,21758.95168625527,1734120000000
21779.22244890034,21780.25425747863,21780.25425747863,21779.22244890034,1734123600000
21891.36287921427,21955.57701640783,21958.20162919784,21879.73556737706,1734357600000
21959.34207957477,21973.90170457805,22004.7425786038,21911.6165693511,1734361200000
21972.61953346166,22034.47501831138,22035.42537015699,21972.61953346166,1734364800000
22034.37911684167,22064.15644010197,22068.46087867126,22017.97673188451,1734368400000
22064.87327227925,22097.31514671732,22105.9995738839,22059.77574612943,1734372000000
22096.72074933699,22102.29543512848,22123.55273123904,22086.00866470187,1734375600000
22102.43964432457,22096.39325969777,22133.21709725483,22078.02691490305,1734379200000
22097.04292264608,22096.65692987936,22097.04292264608,22096.65692987936,1734382800000
22003.6427461317,21983.4488410329,22044.33230457131,21959.46423047217,1734444000000
21985.98048088304,21986.07483298274,21994.96336448674,21921.20570583416,1734447600000
21984.79710043967,22016.68900253067,22062.00299652497,21960.9026954963,1734451200000
22017.03122852881,22017.7921326785,22033.96627068286,21976.95892080496,1734454800000
22016.96816374201,21982.89480200997,22023.70763353245,21979.97900546177,1734458400000
21982.96470719125,21961.13742449766,21985.49356971493,21946.19375178248,1734462000000
21960.79677822994,22000.29519201818,22013.0208354667,21932.90836305253,1734465600000
21999.03676147805,22001.0838794811,22001.0838794811,21999.03676147805,1734469200000
21979.52735499423,21971.14354342419,21991.67301738722,21893.35171258251,1734530400000
21975.0984081122,22009.32591226791,22038.08147803407,21962.67792586479,1734534000000
22008.45298670137,21993.81678894112,22027.07342326142,21944.0715522775,1734537600000
21993.46715755017,21988.84088853863,22011.82787651153,21966.48312323996,1734541200000
21987.93808992135,21980.82769105418,22001.4801292472,21964.5822400774,1734544800000
21980.69399381649,21616.58589431856,21980.69399381649,21608.27471411215,1734548400000
21616.20631659022,21198.27477694201,21631.9740484392,21146.82798423474,1734552000000
21204.38698175711,21209.31478331877,21209.31478331877,21204.38698175711,1734555600000
21358.78745625645,21295.83122811283,21413.73638207845,21278.29514516326,1734616800000
21298.53977145994,21274.60139518042,21350.32582561841,21188.2049895545,1734620400000
21270.80983286567,21281.96891294989,21345.57990863668,21184.73730264753,1734624000000
21281.93936410471,21241.28268083482,21286.98408733492,21157.47470909251,1734627600000
21240.34264391487,21319.53889874579,21319.63426645395,21163.77005353438,1734631200000
