symbol,marketFamily,timeframe,entryMode,setupClass,direction,regime,volState,auditGoodOpportunity,netR,grossR,mfeR,maeR,riskAtr,tp2R,exitType
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,0.12373981892249644,0.23515219506740834,0.30381457356517283,0.13636570931968625,2.3646965108696136,0.23515219506740834,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,-1.1107172314253655,-1.0,0.2985618613673555,1.1801040306987116,2.062992737073021,0.41069124147380903,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,-1.1348275604018494,-1.0,0.486083599248522,1.2189733024729383,1.6967972947064491,0.5893455883738925,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,NORMAL,False,0.6034432343862609,0.7716101108800708,0.9074237903191504,0.449270184296449,1.1886954634164242,0.7716101108800708,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,0.025979827166700414,0.14874523433645925,0.4252748525545649,0.9173996098719558,2.1094356467489694,0.9416968279806948,TIMEOUT
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,0.08030907470068682,0.20963469043655714,0.5008218128127488,0.9130213607369702,2.0032528543537316,0.9983762137931468,TIMEOUT
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,0.02001360911660066,0.13916118792581006,0.3838859499844255,0.9197982626603198,2.172524101734913,0.84267362150636,TIMEOUT
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,-1.2380873208683694,-1.0,0.6237724364840045,1.3223507870813522,1.3345023486847052,0.738159461768736,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,-1.2902088576677095,-1.0,0.9777582291833611,1.3926239339388848,1.095648648172805,1.1586690765427625,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.1983065079386868,-1.0,0.3196972698532916,1.303177561510098,1.7470237047331123,0.4435573230834741,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,COMPRESSION,False,-1.2847707197424239,-1.0,0.8922153749445291,1.4347036675247293,1.2184355142832826,1.069809056781617,STOP
