candidateId,signalUtc,symbol,marketFamily,timeframe,direction,setupClass,entryMode,auditGoodOpportunity,planValid,entered,netR,stressNetR,grossR,mfeR,maeR,reason
BTC-USD|1h|2025-01-07T18:00:00+00:00|SHORT|BREAKOUT|1625,2025-01-07T18:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,structure_confirmed_retest,True,True,False,0.0,0.0,0.0,0.0,0.0,INVALID_TARGET_GEOMETRY
BTC-USD|1h|2025-01-07T19:00:00+00:00|SHORT|BREAKOUT|1626,2025-01-07T19:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,trigger_close,False,True,True,0.06806860056120151,0.05048365222181498,0.1032384972399746,0.20677203514897718,0.15299604270633946,CLOSED
BTC-USD|1h|2025-01-07T19:00:00+00:00|SHORT|BREAKOUT|1626,2025-01-07T19:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,retest_limit,False,True,True,0.20976877525531762,0.19160545578772054,0.24609541419051179,0.2488484510963242,0.12346362914511758,CLOSED
BTC-USD|1h|2025-01-07T19:00:00+00:00|SHORT|BREAKOUT|1626,2025-01-07T19:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,structure_confirmed_retest,False,True,True,0.1746921469340897,0.1570704085642232,0.20993562367382268,0.2126087716428288,0.1488993792405157,CLOSED
BTC-USD|1h|2025-01-07T20:00:00+00:00|LONG|SWEEP_RECLAIM|1627,2025-01-07T20:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,trigger_close,False,True,True,-1.4422863613504089,-1.663429542025613,-1.0,1.8617407925164864,2.658321512374533,CLOSED
BTC-USD|1h|2025-01-07T20:00:00+00:00|LONG|SWEEP_RECLAIM|1627,2025-01-07T20:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,retest_limit,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-07T20:00:00+00:00|LONG|SWEEP_RECLAIM|1627,2025-01-07T20:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-08T04:00:00+00:00|LONG|SWEEP_RECLAIM|1635,2025-01-08T04:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,trigger_close,False,True,True,-1.6827556021534562,-2.0241334032301843,-1.0,1.2231987278528569,3.461928217512321,CLOSED
BTC-USD|1h|2025-01-08T04:00:00+00:00|LONG|SWEEP_RECLAIM|1635,2025-01-08T04:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,retest_limit,False,True,True,-2.017466373746073,-2.52619956061911,-1.0,2.3146874655366854,4.670622199177181,CLOSED
BTC-USD|1h|2025-01-08T04:00:00+00:00|LONG|SWEEP_RECLAIM|1635,2025-01-08T04:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,structure_confirmed_retest,False,True,True,-1.3854824404991724,-1.5782236607487587,-1.0,0.23628258332256302,2.3884274165302006,CLOSED
